userId,group,converted
421db428b55e47b6abcda0955f3b6320,control,TRUE
661396ebbb064752af38ba0437ed759d,control,FALSE
d2d0295577164a59b4b52fd17f20f322,test,FALSE
f0d42ce775114a3dbbd5c2d7c9de6ab3,control,FALSE
7c112d13bb2f4151aec0addf4131b583,control,FALSE
d32ee2913f7d4acbacba61a99e97721d,control,FALSE
07795a85967f4539ae45afb722f52197,test,FALSE
ff8bc7189acd49ffa8f3f00c24b89287,control,FALSE
ecf51e75c5e34edeb75acacd54d1a65b,test,FALSE
0049aa06dd704d98b2b659cdec5ac15c,test,TRUE
b3b236dbee9a4a319cd271bdddf448ab,control,TRUE
a62fb39178004b6285af52e83724b7de,control,TRUE
ed051e5219c74ae2ba794156fdf0a48f,control,TRUE
51bfb2993bb2483d8c7d2d9cde4846ad,test,TRUE
5ec414b013e540c98558468c7ae63bf8,test,FALSE
1c7034b506ff45eebefbea8a1268cdb1,test,FALSE
a17d691298b34286832e9157611c0179,control,FALSE
a485ac7bd6644e458b3740140011ecef,test,TRUE
d7ff580af63a493188468ecc394da09e,test,FALSE
990e85320df54715b1e0cd795132f602,test,FALSE
635ad8b4ebed48fa8fae018076890f97,test,FALSE
0c0843c540cc4620bb4c2234053bd783,test,TRUE
aad5f8d9eff244a4bf2d6425d60dea34,control,TRUE
1b94ec774e234483b08606b5079c17a7,test,TRUE
2ea0932cc128468b889a1c3a2bf80eea,control,FALSE
904c276a556442d0a6fd90612ebefab7,control,FALSE
419b65d415854abeb849f298efdb41ef,test,FALSE
0f9ae57d4b3242abba59287c86cadc81,control,FALSE
c44887843a3d4c0a8e00b91c10be01be,control,FALSE
bbddc13f329f4a0dae42aebfa8149523,test,FALSE
18eadc7257f94e91b9e80ae0606d789e,control,FALSE
04acf2174541489b87dc8a4e9954962d,test,TRUE
39b760b0ed7244069619098f676172f7,control,FALSE
e0b31f9e04a44b01a1ac373bbbc7d5cf,control,TRUE
97ebfdec187c4921909bdc182b4ba196,control,FALSE
6647756c1bad4124a7f5577744a96219,test,FALSE
75ea852217794dc9a6c09cd1cbef7c32,control,FALSE
0954e5d3ea1b4292b02c28084446b402,control,FALSE
9aeb28e5c82e4bab8328a22bc0e9f9f8,test,FALSE
19856a1426484383b7b9a4c70d45a9c1,test,FALSE
ce94ebd0992548769b7b4200abf6d3ad,control,FALSE
16689a341fa5404e8a397443bd1b7714,control,FALSE
146f0b667578479ea49d0dda62718437,control,FALSE
e1059ccdfb1a430faa297c6c37955f3e,control,TRUE
edc93281ac9a4dcc84ce856fdd8c39be,control,TRUE
02a46ad7c87f4e859eb3e5b26c5ccf78,control,TRUE
322c6b203ec642bc93c52d390dfca522,test,FALSE
41f1e1ce91b54692b2919f6acf3df81f,test,FALSE
eb4633bccd7e4f60af8f4dbba69352b9,test,TRUE
ea89e0e59a5944eab1db9dd268c12e1d,test,FALSE
c2b5ab56bf9049d5923ad4225bd46e6c,control,FALSE
b8ffecd3716e48ca85fd06f6c8acf6f7,control,FALSE
4bb32ddaa0054969abb2659df8d175d1,control,FALSE
b9018da1fcb140e1be66c6885864c66e,test,TRUE
1898557fac0449ce8caa483466c49b1b,test,FALSE
c80449763caa403c9810800db7f1c99d,test,FALSE
c622bd900ab542378ce369ad41989260,test,FALSE
9c39d41b88104221941008aeca7deb21,control,FALSE
30ee270b69844e42a2f319faec5bf924,test,FALSE
6ab7e15cf3474e4c90cf59bb67a5dc54,control,TRUE
2f1579d5086f4f28a7b9f88c9a3357cc,test,TRUE
6c186b53602f44cd8c34581a143991bb,control,FALSE
04928f617a994abdaee2d36c276b27a0,control,FALSE
080cdb00010e4003af49751901ba3481,test,FALSE
06d1f866343a442a9c25c102c09167b8,test,TRUE
4219da420c8043388b5403d37869a532,control,TRUE
45adfe01cbf44ff08fed3d2b83d6172b,test,FALSE
eca7ca0319da4ee59d72d0bfc3b004c6,test,FALSE
5a4f766c917e4a44bddc12b072076404,control,FALSE
1bf4a05786a8440b9f50bfa12a138bfa,control,FALSE
f25c7e2cff3840dfbc99cbac43304131,test,FALSE
1a984173afaf47b4b8044b7070bfada9,control,TRUE
dd1206dad6cd46989a9a1d1cb1a720e9,test,TRUE
418664b36a9d44d6918c6f488be864c4,control,FALSE
6c9d2c95728e41869a4b8d19fd92c387,control,FALSE
14e1c416ae7c46288f5cb58221c36dfb,control,FALSE
6a2158a1d0f24db68d93609c35df646f,control,TRUE
6f7b986c19e44442b4d2fc0354478894,test,FALSE
e2996f2dff9b47dda7e3ce0da457e89e,control,FALSE
63176ce9989946948d2894d0c0cda6ec,control,TRUE
4bbeca89c0174034aa8fe0209078eebc,test,FALSE
80c05e2d83374cc386fb9f730fe0825b,control,TRUE
070a9385cdf7454a97c3d9a93ea9458a,test,FALSE
94136fb0240a4a688074bbf3276b0f70,control,FALSE
c7a3caa87e9543d595ffd0de67d02d4b,test,FALSE
ce9f6a9e27064f969dedf10cd12cb73c,control,FALSE
b986cc8a9b1c434db94038e8ba7d0971,control,FALSE
