userId,group,converted
421db428b55e47b6abcda0955f3b6320,control,True
661396ebbb064752af38ba0437ed759d,control,False
d2d0295577164a59b4b52fd17f20f322,treatment,False
f0d42ce775114a3dbbd5c2d7c9de6ab3,control,False
7c112d13bb2f4151aec0addf4131b583,control,False
d32ee2913f7d4acbacba61a99e97721d,control,False
07795a85967f4539ae45afb722f52197,treatment,False
ff8bc7189acd49ffa8f3f00c24b89287,control,False
ecf51e75c5e34edeb75acacd54d1a65b,treatment,False
0049aa06dd704d98b2b659cdec5ac15c,treatment,True
b3b236dbee9a4a319cd271bdddf448ab,control,True
a62fb39178004b6285af52e83724b7de,control,True
ed051e5219c74ae2ba794156fdf0a48f,control,True
51bfb2993bb2483d8c7d2d9cde4846ad,treatment,True
5ec414b013e540c98558468c7ae63bf8,treatment,False
1c7034b506ff45eebefbea8a1268cdb1,treatment,False
a17d691298b34286832e9157611c0179,control,False
a485ac7bd6644e458b3740140011ecef,treatment,True
d7ff580af63a493188468ecc394da09e,treatment,False
990e85320df54715b1e0cd795132f602,treatment,False
635ad8b4ebed48fa8fae018076890f97,treatment,False
0c0843c540cc4620bb4c2234053bd783,treatment,True
aad5f8d9eff244a4bf2d6425d60dea34,control,True
1b94ec774e234483b08606b5079c17a7,treatment,True
2ea0932cc128468b889a1c3a2bf80eea,control,False
904c276a556442d0a6fd90612ebefab7,control,False
419b65d415854abeb849f298efdb41ef,treatment,False
0f9ae57d4b3242abba59287c86cadc81,control,False
c44887843a3d4c0a8e00b91c10be01be,control,False
bbddc13f329f4a0dae42aebfa8149523,treatment,False
18eadc7257f94e91b9e80ae0606d789e,control,False
04acf2174541489b87dc8a4e9954962d,treatment,True
39b760b0ed7244069619098f676172f7,control,False
e0b31f9e04a44b01a1ac373bbbc7d5cf,control,True
97ebfdec187c4921909bdc182b4ba196,control,False
6647756c1bad4124a7f5577744a96219,treatment,False
75ea852217794dc9a6c09cd1cbef7c32,control,False
0954e5d3ea1b4292b02c28084446b402,control,False
9aeb28e5c82e4bab8328a22bc0e9f9f8,treatment,False
19856a1426484383b7b9a4c70d45a9c1,treatment,False
ce94ebd0992548769b7b4200abf6d3ad,control,False
16689a341fa5404e8a397443bd1b7714,control,False
146f0b667578479ea49d0dda62718437,control,False
e1059ccdfb1a430faa297c6c37955f3e,control,True
edc93281ac9a4dcc84ce856fdd8c39be,control,True
02a46ad7c87f4e859eb3e5b26c5ccf78,control,True
322c6b203ec642bc93c52d390dfca522,treatment,False
41f1e1ce91b54692b2919f6acf3df81f,treatment,False
eb4633bccd7e4f60af8f4dbba69352b9,treatment,True
ea89e0e59a5944eab1db9dd268c12e1d,treatment,False
c2b5ab56bf9049d5923ad4225bd46e6c,control,False
b8ffecd3716e48ca85fd06f6c8acf6f7,control,False
4bb32ddaa0054969abb2659df8d175d1,control,False
b9018da1fcb140e1be66c6885864c66e,treatment,True
1898557fac0449ce8caa483466c49b1b,treatment,False
c80449763caa403c9810800db7f1c99d,treatment,False
c622bd900ab542378ce369ad41989260,treatment,False
9c39d41b88104221941008aeca7deb21,control,False
30ee270b69844e42a2f319faec5bf924,treatment,False
6ab7e15cf3474e4c90cf59bb67a5dc54,control,True
2f1579d5086f4f28a7b9f88c9a3357cc,treatment,True
6c186b53602f44cd8c34581a143991bb,control,False
04928f617a994abdaee2d36c276b27a0,control,False
080cdb00010e4003af49751901ba3481,treatment,False
06d1f866343a442a9c25c102c09167b8,treatment,True
4219da420c8043388b5403d37869a532,control,True
45adfe01cbf44ff08fed3d2b83d6172b,treatment,False
eca7ca0319da4ee59d72d0bfc3b004c6,treatment,False
5a4f766c917e4a44bddc12b072076404,control,False
1bf4a05786a8440b9f50bfa12a138bfa,control,False
f25c7e2cff3840dfbc99cbac43304131,treatment,False
1a984173afaf47b4b8044b7070bfada9,control,True
dd1206dad6cd46989a9a1d1cb1a720e9,treatment,True
418664b36a9d44d6918c6f488be864c4,control,False
6c9d2c95728e41869a4b8d19fd92c387,control,False
14e1c416ae7c46288f5cb58221c36dfb,control,False
6a2158a1d0f24db68d93609c35df646f,control,True
6f7b986c19e44442b4d2fc0354478894,treatment,False
e2996f2dff9b47dda7e3ce0da457e89e,control,False
63176ce9989946948d2894d0c0cda6ec,control,True
4bbeca89c0174034aa8fe0209078eebc,treatment,False
80c05e2d83374cc386fb9f730fe0825b,control,True
070a9385cdf7454a97c3d9a93ea9458a,treatment,False
94136fb0240a4a688074bbf3276b0f70,control,False
c7a3caa87e9543d595ffd0de67d02d4b,treatment,False
ce9f6a9e27064f969dedf10cd12cb73c,control,False
b986cc8a9b1c434db94038e8ba7d0971,control,False
fdfa845dca144149a1d904a84bafa4fd,control,False
841e65b05ff64e2ca58168cd195915a2,treatment,True
d6945146d9464094ab36c19e7fbc8183,treatment,False
becd2dfc53984ba4a6fe4c106d3aadca,treatment,True
42aeebaf1897455f94419d33e4cb6a71,control,False
e08671d50b384c53a49d45c414a39cc8,treatment,False
e7ea60f3a855479fa5d085a6ec732018,treatment,False
